"Id","BIRTHDATE","DEATHDATE","SSN","DRIVERS","PASSPORT","PREFIX","FIRST","LAST","SUFFIX","MAIDEN","MARITAL","RACE","ETHNICITY","GENDER","BIRTHPLACE","ADDRESS","CITY","STATE","COUNTY","ZIP","LAT","LON","HEALTHCARE_EXPENSES","HEALTHCARE_COVERAGE"
"623336a5-3e7b-57c7-dbd3-b77434c1e1c7",2022-04-22,NA,"999-59-7348",NA,NA,NA,"Jesse626","Rowe323",NA,NA,NA,"white","nonhispanic","M","Valdez  Alaska  US","405 Rempel Trace Apt 26","Juneau","Alaska","Juneau City and Borough",NA,58.2738784362901,-134.367790555306,2676.14,0
"bb37561b-ba65-7c47-db5b-0641bca883b4",2012-02-08,NA,"999-16-2180",NA,NA,NA,"Noah480","Leffler128",NA,NA,NA,"white","nonhispanic","M","Anchorage  Alaska  US","823 Sauer Manor Unit 30","Juneau","Alaska","Juneau City and Borough",NA,58.3633456361758,-134.215649536585,269257.17,8385.54
"62fc8f1c-cbca-4143-bcda-8075dd42eaf0",2009-09-07,NA,"999-89-5507",NA,NA,NA,"Woodrow571","Koepp521",NA,NA,NA,"white","nonhispanic","M","College  Alaska  US","365 Rice Landing","Juneau","Alaska","Juneau City and Borough",99801,58.3769771285753,-134.169654809877,321548.1125,3862.0875
"678fc07c-1cb1-acc6-3553-d848200626e9",2006-02-11,NA,"999-92-8411","S99990200",NA,NA,"Odessa199","Pfannerstill264",NA,NA,NA,"white","nonhispanic","F","Anchorage  Alaska  US","1001 Grimes Bay","Juneau","Alaska","Juneau City and Borough",99801,58.3644560525976,-134.151056740817,398085.56,43.92
"f69179a2-a513-c31a-3756-42ebabd3e6b2",1995-11-20,NA,"999-41-1581","S99944700","X29553303X","Mr.","Jerald662","Lubowitz58",NA,NA,NA,"hawaiian","nonhispanic","M","Anchorage  Alaska  US","884 Cassin Well","Juneau","Alaska","Juneau City and Borough",NA,58.3920521512077,-134.202232142769,671864.67,1545.54
"95c6efde-dd93-2dab-ca7c-2b048da92f9a",1991-06-12,NA,"999-64-7240","S99951681","X22255712X","Mr.","Jonathan639","Rohan584",NA,NA,"M","white","nonhispanic","M","Anchorage  Alaska  US","436 Wilderman Overpass","Juneau","Alaska","Juneau City and Borough",99824,58.6352378454057,-134.328387759506,780438.0175,11570.0925
"63f4e6de-bc2d-a760-60f1-6f3c2576bc07",1998-05-09,NA,"999-34-2062","S99991799","X34698901X","Ms.","Amiee221","Daniel959",NA,NA,NA,"white","nonhispanic","F","Meadow Lakes  Alaska  US","377 Rath Ville Suite 38","Juneau","Alaska","Juneau City and Borough",99824,58.4228650904474,-134.191221391514,2508830.916,291034.364
"72bb9c05-6ef9-c8eb-fde2-23f946bec931",2005-02-20,NA,"999-62-5461","S99946571",NA,NA,"Bette450","Larkin917",NA,NA,NA,"white","nonhispanic","F","Anchorage  Alaska  US","264 Schuppe Trailer Apt 13","Juneau","Alaska","Juneau City and Borough",NA,58.6815206060347,-134.246122485559,461991.0925,2741.7975
"2ab97182-0a31-8db3-3370-c025916b2526",1984-07-15,NA,"999-52-9784","S99967308","X32379303X","Mrs.","Jason347","Hilpert278",NA,"Bernhard322","M","white","nonhispanic","F","Tanaina  Alaska  US","911 Bartoletti Bay Suite 66","Juneau","Alaska","Juneau City and Borough",99801,58.2452305699124,-134.393556113808,1418589.375,15081.435
"27c542e6-abba-f017-8a0d-24fc327ae9b8",1984-04-06,NA,"999-50-8868","S99913891","X5473487X","Mrs.","Lovie151","Hoppe518",NA,"O'Kon634","M","white","nonhispanic","F","Trapper Creek  Alaska  US","382 Turner Ferry","Juneau","Alaska","Juneau City and Borough",99801,58.3238602965605,-134.186587089997,2068222.4035,174901.7265
"4ad509f6-988a-e927-666e-229254813a8c",1971-05-24,NA,"999-81-6620","S99921057","X86691623X","Mrs.","Kerri159","Bergstrom287",NA,"Kozey370","M","white","nonhispanic","F","Anchorage  Alaska  US","611 Kutch Alley","Juneau","Alaska","Juneau City and Borough",99824,58.2418411107101,-134.365677464219,3072942.6735,611497.2165
"28d0bbe6-bcee-1453-959a-e25290f2e3c6",1970-06-30,2020-01-08,"999-78-8156","S99970419","X67260457X","Mr.","Jeremy766","Senger904",NA,NA,"S","white","nonhispanic","M","Anchorage  Alaska  US","556 O'Kon Path","Juneau","Alaska","Juneau City and Borough",NA,58.2703637636862,-134.363326775345,1275350.2675,16018.7925
"f7add965-c9db-08c8-d5af-ab7077806c8f",1971-07-24,NA,"999-23-1421","S99969412","X17359160X","Mrs.","Debera99","Sporer811",NA,"Deckow585","M","hawaiian","nonhispanic","F","Kenai  Alaska  US","1095 Miller Center Suite 56","Juneau","Alaska","Juneau City and Borough",NA,58.2930811657716,-134.362124830366,1135437.86,1227.93
"fc3f1a3d-7fd5-8312-583f-9cc81e7735dc",1994-06-30,NA,"999-98-2520","S99982034","X57349307X","Mrs.","Tommye961","Watsica258",NA,"Hegmann834","M","hawaiian","nonhispanic","F","Diamond Ridge  Alaska  US","316 Leffler Walk Suite 53","Juneau","Alaska","Juneau City and Borough",NA,58.2197634565573,-134.439372074763,954051.89,99.36
